Id,SalePrice
1461,161356.9
1462,112269.805
1463,112705.02
1464,115006.65
1465,137387.77
1466,112194.88
1467,111912.23
1468,110149.56
1469,183393.53
1470,160483.53
1471,133186.06
1472,140984.77
1473,141658.52
1474,162364.58
1475,157704.19
1476,169992.31
1477,147678.22
1478,226962.81
1479,150016.27
1480,271266.4
1481,250888.55
1482,141733.64
1483,121210.17
1484,190789.5
1485,132125.4
1486,129587.164
1487,167255.52
1488,213748.3
1489,200974.95
1490,201650.17
1491,193812.3
1492,157747.66
1493,115600.336
1494,160816.16
1495,236015.69
1496,136289.36
1497,191423.75
1498,191812.44
1499,185738.55
1500,180667.05
1501,179021.9
1502,122096.42
1503,152175.08
1504,144116.45
1505,207063.31
1506,122839.82
1507,194010.17
1508,119573.516
1509,169982.75
1510,177420.0
1511,186013.31
1512,182965.53
1513,111097.25
1514,106107.14
1515,190119.28
1516,162892.22
1517,115556.36
1518,168313.83
1519,205970.83
1520,111651.9
1521,109425.97
1522,178268.7
1523,161388.16
1524,159626.02
1525,155505.78
1526,157286.33
1527,155845.17
1528,166919.92
1529,117657.74
1530,179496.48
1531,161824.77
1532,142657.81
1533,179100.12
1534,166576.44
1535,170504.08
1536,169284.05
1537,134521.55
1538,188573.92
1539,221717.7
1540,157790.53
1541,173027.17
1542,167445.6
1543,130703.46
1544,142234.92
1545,152094.11
1546,164567.8
1547,165012.08
1548,164206.44
1549,162365.83
1550,174045.64
1551,163113.42
1552,179851.0
1553,172952.61
1554,158751.72
1555,118791.19
1556,100412.62
1557,154929.52
1558,101778.95
1559,92642.336
1560,164372.98
1561,153217.3
1562,170924.61
1563,163180.17
1564,116002.55
1565,158563.03
1566,131851.62
1567,148646.55
1568,132823.55
1569,177680.25
1570,172000.23
1571,159568.02
1572,173879.9
1573,135663.92
1574,105340.86
1575,210798.6
1576,132707.19
1577,199126.66
1578,108576.27
1579,161024.56
1580,122539.35
1581,118687.46
1582,160238.69
1583,245568.03
1584,211096.33
1585,172869.33
1586,133644.23
1587,154734.61
1588,123934.04
1589,152260.58
1590,161001.98
1591,146610.33
1592,179600.08
1593,170036.1
1594,147391.77
1595,151706.17
1596,150375.94
1597,194358.69
1598,133956.34
1599,133244.25
1600,127349.57
1601,127953.63
1602,165117.86
1603,154793.2
1604,151948.27
1605,208925.69
1606,168947.3
1607,115393.15
1608,135249.89
1609,195034.94
1610,166160.75
1611,173799.0
1612,173915.73
1613,170127.73
1614,156781.64
1615,129415.375
1616,125076.64
1617,136490.7
1618,148343.34
1619,162687.28
1620,158221.95
1621,159582.62
1622,109116.36
1623,216198.6
1624,196763.23
1625,108322.57
1626,172413.92
1627,118572.85
1628,149627.9
1629,176801.81
1630,172002.38
1631,138652.42
1632,149041.44
1633,125250.914
1634,186260.4
1635,116090.86
1636,169449.77
1637,183239.5
1638,134002.72
1639,186037.8
1640,141694.19
1641,176859.48
1642,206396.73
1643,211340.06
1644,211351.75
1645,122693.82
1646,175679.06
1647,114752.586
1648,105286.83
1649,108625.47
1650,158046.11
1651,153136.5
1652,144246.25
1653,144208.44
1654,168484.86
1655,179697.39
1656,164387.72
1657,165286.28
1658,177413.06
1659,152568.44
1660,183898.1
1661,263666.4
1662,266731.94
1663,260213.66
1664,274048.12
1665,234731.5
1666,160731.2
1667,167780.16
1668,167396.73
1669,151315.03
1670,165380.1
1671,147191.45
1672,182681.33
1673,161263.53
1674,144074.95
1675,128393.195
1676,129145.12
1677,136444.25
1678,187521.6
1679,172736.02
1680,162627.72
1681,216534.94
1682,237425.97
1683,195234.23
1684,181603.5
1685,120451.59
1686,192366.22
1687,130027.01
1688,131014.58
1689,134472.05
1690,130382.63
1691,127684.73
1692,147893.3
1693,130985.22
1694,114468.734
1695,176644.22
1696,143950.94
1697,116440.02
1698,256833.3
1699,166194.03
1700,222484.89
1701,151846.28
1702,147641.61
1703,220498.69
1704,234389.25
1705,145628.61
1706,266880.53
1707,132479.83
1708,200463.1
1709,152826.19
1710,215924.75
1711,216008.8
1712,222186.55
1713,217267.2
1714,136882.42
1715,135548.17
1716,198046.78
1717,193581.39
1718,157487.16
1719,130831.54
1720,148121.53
1721,186664.61
1722,157765.11
1723,172716.73
1724,202900.97
1725,140451.47
1726,182468.9
1727,181904.58
1728,193631.8
1729,113373.18
1730,151623.88
1731,111334.086
1732,113403.78
1733,110025.67
1734,108274.55
1735,117782.586
1736,159321.98
1737,166423.53
1738,198528.98
1739,212631.7
1740,128830.086
1741,127249.54
1742,178708.22
1743,185044.25
1744,157451.56
1745,208692.7
1746,206888.42
1747,135313.38
1748,202152.53
1749,183077.06
1750,160157.72
1751,139702.44
1752,164982.48
1753,166356.25
1754,189380.78
1755,182133.72
1756,157322.94
1757,158964.27
1758,115807.56
1759,119631.0
1760,183998.1
1761,107900.055
1762,120382.805
1763,182522.52
1764,162205.02
1765,186054.83
1766,121560.93
1767,119887.86
1768,182344.17
1769,120960.4
1770,115102.22
1771,168178.73
1772,173377.86
1773,165632.48
1774,160233.95
1775,109729.23
1776,170284.06
1777,151887.86
1778,172810.16
1779,164965.34
1780,184613.45
1781,173941.77
